make_code,name,code,type
AUDI,"AUDI A4 ",AUDI_A4,4
AUDI,"AUDI A5",AUDI_A5,4
AUDI,"AUDI A6",AUDI_A6,4
AUDI,"AUDI TTS",AUDI_TTS,4
BAIC,"BAIC Q7",BAIC_Q7,4
BENTLEY,"BENTLEY CONTINENTAL",BENTLEY_CONTINENTAL,4
BENTLEY,"BENTLEY GT SPORT",BENTLEY_GT_SPORT,4
BMW,"BMW 320i ",BMW_320I,4
BMW,"BMW 335I SPORT",BMW_335I_SPORT,4
BMW,"BMW 520i",BMW_520I,4
BMW,"BMW 523I",BMW_523I,4
BMW,"BMW 760LI",BMW_760LI,4
BMW,"BMW I8",BMW_I8,4
BMW,"BMW Z4 SPORT",BMW_Z4_SPORT,4
CADILLAC,"CADILLAC BUICK",CADILLAC_BUICK,4
CHEVROLET,"CHEVROLET AVEO",CHEVROLET_AVEO,4
CHEVROLET,"CHEVROLET CAMARO",CHEVROLET_CAMARO,4
CHEVROLET,"CHEVROLET COLORADO",CHEVROLET_COLORADO,4
CHEVROLET,"CHEVROLET CRUZE",CHEVROLET_CRUZE,4
CHEVROLET,"CHEVROLET DUO (VAN)",CHEVROLET_DUO_(VAN),4
CHEVROLET,"CHEVROLET SPARK",CHEVROLET_SPARK,4
CHEVROLET,"CHEVROLET TRAX",CHEVROLET_TRAX,4
DAEWOO,"DEAWOO DCX",DEAWOO_DCX,4
DAEWOO,"DAEWOO LACETTI",DAEWOO_LACETTI,4
DAEWOO,"DAEWOO MAGNUS",DAEWOO_MAGNUS,4
DAEWOO,"DAEWOO MATIZ",DAEWOO_MATIZ,4
FORD,"FORD ECOSPORT",FORD_ECOSPORT,4
FORD,"FORD ESCAPE",FORD_ESCAPE,4
FORD,"FORD FIESTA",FORD_FIESTA,4
FORD,"FORD FOCUS",FORD_FOCUS,4
FORD,"FORD FOCUS TITATINUM 2.0L",FORD_FOCUS_TITATINUM_2.0L,4
FORD,"FORD RANGER",FORD_RANGER,4
HONDA,"HONDA ACCORD",HONDA_ACCORD,4
HONDA,"HONDA CITY",HONDA_CITY,4
HONDA,"HONDA CIVIC",HONDA_CIVIC,4
HONDA,"HONDA CRV",HONDA_CRV,4
HONDA,"HONDA JAZZ",HONDA_JAZZ,4
HYUNDAI,"HYUNDAI ACCENT",HYUNDAI_ACCENT,4
HYUNDAI,"HYUNDAI AVANTE",HYUNDAI_AVANTE,4
HYUNDAI,"HYUNDAI ELANTRA",HYUNDAI_ELANTRA,4
HYUNDAI,"HYUNDAI GETZ",HYUNDAI_GETZ,4
HYUNDAI,"HYUNDAI GRAND I10",HYUNDAI_GRAND_I10,4
HYUNDAI,"HYUNDAI GRAND I20",HYUNDAI_GRAND_I20,4
HYUNDAI,"HYUNDAI i10",HYUNDAI_I10,4
HYUNDAI,"HYUNDAI I30 CW",HYUNDAI_I30_CW,4
HYUNDAI,"HYUNDAI KONA",HYUNDAI_KONA,4
HYUNDAI,"HYUNDAI SONATA",HYUNDAI_SONATA,4
HYUNDAI,"HYUNDAI TUCSON",HYUNDAI_TUCSON,4
KIA,"KIA CERATO",KIA_CERATO,4
KIA,"KIA FORTE",KIA_FORTE,4
KIA,"KIA K3",KIA_K3,4
KIA,"KIA MORNING",KIA_MORNING,4
KIA,"KIA MORNING SI",KIA_MORNING_SI,4
KIA,"KIA OPTIMA",KIA_OPTIMA,4
KIA,"KIA RIO",KIA_RIO,4
LEXUS,"LEXUS ES 250",LEXUS_ES_250,4
LEXUS,"LEXUS IS 250C",LEXUS_IS_250C,4
LEXUS,"LEXUS SC 430",LEXUS_SC_430,4
MAZDA,"MAZDA 2",MAZDA_2,4
MAZDA,"MAZDA 3",MAZDA_3,4
MAZDA,"MAZDA 3 HATCHBACK 1.5L",MAZDA_3_HATCHBACK_1.5L,4
MAZDA,"MAZDA 6",MAZDA_6,4
MAZDA,"MAZDA BT 50",MAZDA_BT_50,4
MAZDA,"MAZDA CX5",MAZDA_CX5,4
MERCEDES,"MERCEDES C200",MERCEDES_C200,4
MERCEDES,"MERCEDES C250",MERCEDES_C250,4
MERCEDES,"MERCEDES C300",MERCEDES_C300,4
MERCEDES,"MERCEDES CLA 250",MERCEDES_CLA_250,4
MERCEDES,"MERCEDES E200",MERCEDES_E200,4
MERCEDES,"MERCEDES E250",MERCEDES_E250,4
MERCEDES,"MERCEDES E300",MERCEDES_E300,4
MERCEDES,"MERCEDES GLC 250",MERCEDES_GLC_250,4
MERCEDES,"MERCEDES GLC 300",MERCEDES_GLC_300,4
MERCEDES,"MERCEDES MAYBACH S600",MERCEDES_MAYBACH_S600,4
MERCEDES,"MERCEDES S550",MERCEDES_S550,4
MITSUBISHI,"MITSUBISHI ATTRAGE",MITSUBISHI_ATTRAGE,4
MITSUBISHI,"MITSUBISHI JOLIE",MITSUBISHI_JOLIE,4
MITSUBISHI,"MITSUBISHI LANCER GALA GLX",MITSUBISHI_LANCER_GALA_GLX,4
MITSUBISHI,"MITSUBISHI MIRAGE",MITSUBISHI_MIRAGE,4
MITSUBISHI,"MITSUBISHI TRITON",MITSUBISHI_TRITON,4
MITSUBISHI,"MITSUBISHI ZINGER",MITSUBISHI_ZINGER,4
NISSAN,"NISSAN NAVARA",NISSAN_NAVARA,4
NISSAN,"NISSAN SUNNY",NISSAN_SUNNY,4
NISSAN,"NISSAN TEANA",NISSAN_TEANA,4
NISSAN,"NISSAN Z350",NISSAN_Z350,4
PEUGEOT,"PEUGEOT 107",PEUGEOT_107,4
PORSCHE,"PORSCHE PANAMERA",PORSCHE_PANAMERA,4
RENAULT,"RENAULT KOLEOS",RENAULT_KOLEOS,4
SUZUKI,"SUZUKI CELERIO",SUZUKI_CELERIO,4
SUZUKI,"SUZUKI CIAZ",SUZUKI_CIAZ,4
SUZUKI,"SUZUKI SWIFT",SUZUKI_SWIFT,4
SUZUKI,"SUZUKI VITARA",SUZUKI_VITARA,4
TOYOTA,"TOYOTA CAMRY",TOYOTA_CAMRY,4
TOYOTA,"TOYOTA COROLLA ALTIS",TOYOTA_COROLLA_ALTIS,4
TOYOTA,"TOYOTA HILUX",TOYOTA_HILUX,4
TOYOTA,"TOYOTA MITSHU MIRAGE",TOYOTA_MITSHU_MIRAGE,4
TOYOTA,"TOYOTA SIENNA",TOYOTA_SIENNA,4
TOYOTA,"TOYOTA VENZA",TOYOTA_VENZA,4
TOYOTA,"TOYOTA VIOS",TOYOTA_VIOS,4
TOYOTA,"TOYOTA VIOS 1.5L G",TOYOTA_VIOS_1.5L_G,4
TOYOTA,"TOYOTA WIGO",TOYOTA_WIGO,4
TOYOTA,"TOYOTA YARIS",TOYOTA_YARIS,4
TOYOTA,"TOYOTA YARIS G",TOYOTA_YARIS_G,4
UAZ,"UAZ PATRIOT",UAZ_PATRIOT,4
VOLKSWAGEN,"VOLKSWAGEN BEETLE",VOLKSWAGEN_BEETLE,4
VOLKSWAGEN,"VOLKSWAGEN POLO",VOLKSWAGEN_POLO,4
ZOYTE,"ZOYTE BAIC Q7",ZOYTE_BAIC_Q7,4
ZOYTE,"ZOYTE Z8 T700",ZOYTE_Z8_T700,4
BAIC,"Baic Q7",BAIC_Q7,7
BMW,"BMW X5",BMW_X5,7
CHEVROLET,"CHEVROLET CAPTIVA",CHEVROLET_CAPTIVA,7
CHEVROLET,"CHEVROLET ORLANDO",CHEVROLET_ORLANDO,7
CHEVROLET,"CHEVROLET TRAILBLAZER",CHEVROLET_TRAILBLAZER,7
CHEVROLET,"CHEVROLET VIVANT",CHEVROLET_VIVANT,7
FORD,"FORD EVEREST",FORD_EVEREST,7
FORD,"FORD IMAX",FORD_IMAX,7
FORD,"FORD RANGER WILDTRAK 3.2L",FORD_RANGER_WILDTRAK_3.2L,7
HONDA,"HONDA CRV",HONDA_CRV,7
HONDA,"HONDA ODYSSEY",HONDA_ODYSSEY,7
HYUNDAI,"HYUNDAI SANTA FE",HYUNDAI_SANTA_FE,7
ISUZU,"ISUZU MUX",ISUZU_MUX,7
KIA,"KIA CARENS",KIA_CARENS,7
KIA,"KIA RONDO",KIA_RONDO,7
KIA,"KIA SEDONA",KIA_SEDONA,7
KIA,"KIA SORENTO",KIA_SORENTO,7
LUXGEN,"LUXGEN U7 22T",LUXGEN_U7_22T,7
MAZDA,"MAZDA CX5",MAZDA_CX5,7
MAZDA,"MAZDA PREMACY",MAZDA_PREMACY,7
MITSUBISHI,"MITSUBISHI GRANDIS",MITSUBISHI_GRANDIS,7
MITSUBISHI,"MITSUBISHI JOLIE",MITSUBISHI_JOLIE,7
MITSUBISHI,"MITSUBISHI OUTLANDER",MITSUBISHI_OUTLANDER,7
MITSUBISHI,"MITSUBISHI PAJERO SPORT",MITSUBISHI_PAJERO_SPORT,7
MITSUBISHI,"MITSUBISHI XPANDER",MITSUBISHI_XPANDER,7
NISSAN,"NISSAN GRAND LIVINA",NISSAN_GRAND_LIVINA,7
NISSAN,"NISSAN TERRA",NISSAN_TERRA,7
NISSAN,"NISSAN X TRAIL",NISSAN_X_TRAIL,7
PORSCHE,"PORSCHE CAYENNE GTS",PORSCHE_CAYENNE_GTS,7
SSANGYONG,"SSANGYONG STAVIC",SSANGYONG_STAVIC,7
SUZUKI,"SUZUKI APV",SUZUKI_APV,7
SUZUKI,"Suzuki Ertiga",SUZUKI_ERTIGA,7
TOYOTA,"TOYOTA AVANZA",TOYOTA_AVANZA,7
TOYOTA,"TOYOTA FORTUNER",TOYOTA_FORTUNER,7
TOYOTA,"TOYOTA FORTUNER 2.4L",TOYOTA_FORTUNER_2.4L,7
TOYOTA,"TOTOTA FORTUNER 2.5G MT 4X2",TOTOTA_FORTUNER_2.5G_MT_4X2,7
TOYOTA,"TOYOTA FORTUNER 2.5L",TOYOTA_FORTUNER_2.5L,7
TOYOTA,"TOYOTA FORTUNER 2.7 ",TOYOTA_FORTUNER_2.7,7
TOYOTA,"TOYOTA FORTUNER TRD SPORTIVO",TOYOTA_FORTUNER_TRD_SPORTIVO,7
TOYOTA,"TOYOTA INNOVA",TOYOTA_INNOVA,7
TOYOTA,"TOYOTA INNOVA G",TOYOTA_INNOVA_G,7
TOYOTA,"TOYOTA INNOVA E",TOYOTA_INNOVA_E,7
TOYOTA,"TOYOTA INNOVA V",TOYOTA_INNOVA_V,7
TOYOTA,"TOYOTA INNOVA VENTURER",TOYOTA_INNOVA_VENTURER,7
TOYOTA,"TOYOTA LAND CRUISER",TOYOTA_LAND_CRUISER,7
TOYOTA,"TOYOTA RUSH",TOYOTA_RUSH,7
TOYOTA,"TOYOTA ZACE",TOYOTA_ZACE,7
